,ID,Datetime,SubBasin,Name,Wind_Speed(knots),Air_Pressure(mb),Distance_to_Land(km),Latitude,Longitude,Season,Storm_Category
47935,1923285N10267,1923-10-16 06:00:00,GM,NOT_NAMED,70.0,983.0,0,29.2,-91.0,4,Cat1
47997,1923290N20265,1923-10-18 00:00:00,GM,NOT_NAMED,50.0,992.0,30,30.0,-89.0,4,TS
47998,1923290N20265,1923-10-18 01:00:00,GM,NOT_NAMED,50.0,992.0,11,30.3,-89.0,4,TS
48217,1924239N14312,1924-08-28 06:00:00,CS,NOT_NAMED,95.0,965.0,441,16.6,-61.8,3,Cat2
48225,1924239N14312,1924-08-29 06:00:00,CS,NOT_NAMED,95.0,967.0,74,18.5,-64.9,3,Cat2
48314,1924257N24276,1924-09-15 12:00:00,GM,NOT_NAMED,75.0,980.0,14,29.6,-85.5,3,Cat1
48315,1924257N24276,1924-09-15 14:00:00,GM,NOT_NAMED,75.0,980.0,0,29.7,-85.3,3,Cat1
48488,1924271N17274,1924-09-29 12:00:00,GM,NOT_NAMED,50.0,999.0,323,27.0,-86.6,3,TS
48578,1924288N16277,1924-10-19 18:00:00,GM,NOT_NAMED,145.0,910.0,10,22.4,-84.4,4,Cat5
48588,1924288N16277,1924-10-21 00:00:00,GM,NOT_NAMED,80.0,975.0,22,25.8,-81.9,4,Cat1
48589,1924288N16277,1924-10-21 01:00:00,GM,NOT_NAMED,80.0,975.0,14,25.8,-81.8,4,Cat1
49036,1926233N13285,1926-08-25 23:00:00,GM,NOT_NAMED,100.0,955.0,0,29.2,-90.9,3,Cat3
49407,1926255N15314,1926-09-20 22:00:00,GM,NOT_NAMED,100.0,955.0,0,30.3,-87.5,3,Cat3
49412,1926255N15314,1926-09-21 12:00:00,GM,NOT_NAMED,60.0,983.0,9,30.3,-88.6,3,TS
49553,1926287N12279,1926-10-17 18:00:00,CS,NOT_NAMED,60.0,993.0,247,14.3,-80.9,4,TS
49561,1926287N12279,1926-10-18 18:00:00,CS,NOT_NAMED,80.0,974.0,178,16.5,-82.3,4,Cat1
49573,1926287N12279,1926-10-20 06:00:00,CS,NOT_NAMED,125.0,939.0,11,21.3,-82.8,4,Cat4
49575,1926287N12279,1926-10-20 12:00:00,CS,NOT_NAMED,130.0,934.0,44,22.3,-82.7,4,Cat4
50365,1928250N14343,1928-09-12 18:00:00,CS,NOT_NAMED,120.0,940.0,489,16.2,-61.5,3,Cat4
50373,1928250N14343,1928-09-13 18:00:00,CS,NOT_NAMED,140.0,931.0,0,18.0,-65.9,3,Cat5
50529,1929178N21267,1929-06-28 18:00:00,GM,NOT_NAMED,80.0,982.0,77,27.8,-96.0,2,Cat1
50530,1929178N21267,1929-06-28 21:00:00,GM,NOT_NAMED,80.0,982.0,11,28.3,-96.4,2,Cat1
50641,1929262N23296,1929-10-01 04:00:00,GM,NOT_NAMED,70.0,975.0,0,30.2,-85.7,4,Cat1
50929,1930241N13317,1930-09-03 18:00:00,CS,NOT_NAMED,135.0,933.0,0,18.4,-70.0,3,Cat4
51357,1931252N15307,1931-09-11 00:00:00,CS,NOT_NAMED,75.0,987.0,23,18.5,-65.4,3,Cat1
51681,1932225N22270,1932-08-14 00:00:00,GM,NOT_NAMED,125.0,942.0,73,28.6,-94.6,3,Cat4
51683,1932225N22270,1932-08-14 04:00:00,GM,NOT_NAMED,130.0,935.0,0,29.0,-95.2,3,Cat4
51742,1932240N21291,1932-09-01 05:00:00,GM,NOT_NAMED,75.0,979.0,9,30.2,-88.1,3,Cat1
51743,1932240N21291,1932-09-01 06:00:00,GM,NOT_NAMED,75.0,979.0,9,30.3,-88.2,3,Cat1
52151,1932269N17303,1932-09-26 12:00:00,CS,NOT_NAMED,120.0,948.0,280,17.7,-63.0,3,Cat4
52155,1932269N17303,1932-09-27 00:00:00,CS,NOT_NAMED,125.0,943.0,67,18.0,-65.0,3,Cat4
52191,1932269N17303,1932-10-01 12:00:00,CS,NOT_NAMED,40.0,1003.0,108,16.8,-87.2,4,TS
52456,1932304N15305,1932-11-09 12:00:00,CS,NOT_NAMED,130.0,918.0,47,20.8,-78.9,4,Cat4
52572,1933135N13278,1933-05-16 00:00:00,GM,NOT_NAMED,45.0,1001.0,80,22.2,-87.3,2,TS
52909,1933206N14306,1933-08-05 00:00:00,GM,NOT_NAMED,80.0,975.0,10,25.8,-97.1,3,Cat1
53232,1933234N13335,1933-09-05 04:00:00,GM,NOT_NAMED,110.0,940.0,9,26.1,-97.2,3,Cat3
53530,1933254N17272,1933-09-12 12:00:00,CS,NOT_NAMED,60.0,992.0,95,17.8,-87.0,3,TS
53554,1933254N17272,1933-09-15 12:00:00,GM,NOT_NAMED,95.0,960.0,30,22.3,-97.5,3,Cat2
53597,1933259N11302,1933-09-21 00:00:00,CS,NOT_NAMED,140.0,929.0,331,18.4,-82.8,3,Cat5
53627,1933259N11302,1933-09-24 18:00:00,GM,NOT_NAMED,95.0,960.0,62,21.7,-96.7,3,Cat2
53799,1933298N13280,1933-10-29 18:00:00,CS,NOT_NAMED,80.0,982.0,11,18.1,-78.1,4,Cat1
53998,1934156N17273,1934-06-13 12:00:00,GM,NOT_NAMED,80.0,978.0,237,21.7,-92.5,2,Cat1
54024,1934156N17273,1934-06-16 18:00:00,GM,NOT_NAMED,85.0,966.0,0,29.6,-91.7,2,Cat2
54025,1934156N17273,1934-06-16 19:00:00,GM,NOT_NAMED,85.0,966.0,9,29.7,-91.7,2,Cat2
54135,1934203N32281,1934-07-25 17:00:00,GM,NOT_NAMED,75.0,979.0,9,28.1,-96.8,3,Cat1
54172,1934238N27271,1934-08-27 00:00:00,GM,NOT_NAMED,50.0,998.0,133,28.3,-92.3,3,TS
54595,1935135N17292,1935-05-15 12:00:00,CS,NOT_NAMED,30.0,1006.0,24,18.2,-69.5,2,TS
54764,1935241N23291,1935-09-04 22:00:00,GM,NOT_NAMED,85.0,965.0,0,29.6,-83.4,3,Cat2
54879,1935266N15285,1935-09-28 06:00:00,CS,NOT_NAMED,105.0,955.0,45,21.4,-80.3,3,Cat3
54940,1935292N13279,1935-10-21 12:00:00,CS,NOT_NAMED,50.0,995.0,11,17.8,-76.7,4,TS
54964,1935292N13279,1935-10-24 12:00:00,CS,NOT_NAMED,60.0,988.0,235,17.5,-80.5,4,TS
55175,1936164N18273,1936-06-14 18:00:00,GM,NOT_NAMED,40.0,998.0,329,25.4,-85.3,2,TS
55203,1936171N22270,1936-06-20 00:00:00,GM,NOT_NAMED,45.0,1000.0,322,23.8,-91.4,2,TS
55228,1936179N26265,1936-06-27 12:00:00,GM,NOT_NAMED,70.0,987.0,67,27.5,-96.6,2,Cat1
55230,1936179N26265,1936-06-27 16:00:00,GM,NOT_NAMED,70.0,987.0,14,27.9,-97.0,2,Cat1
55289,1936209N24286,1936-07-31 12:00:00,GM,NOT_NAMED,90.0,964.0,34,30.1,-86.5,3,Cat2
55290,1936209N24286,1936-07-31 14:00:00,GM,NOT_NAMED,90.0,964.0,0,30.4,-86.6,3,Cat2
55362,1936221N27272,1936-08-08 00:00:00,GM,NOT_NAMED,30.0,1009.0,254,26.9,-88.1,3,TS
55407,1936228N21273,1936-08-16 00:00:00,GM,NOT_NAMED,50.0,999.0,201,23.3,-88.3,3,TS
55762,1936254N19266,1936-09-12 12:00:00,GM,NOT_NAMED,45.0,1001.0,292,22.4,-94.6,3,TS
56284,1937260N23266,1937-09-19 18:00:00,GM,NOT_NAMED,40.0,1002.0,0,29.1,-89.3,3,TS
56428,1937275N25272,1937-10-02 12:00:00,GM,NOT_NAMED,40.0,1003.0,329,26.1,-89.7,4,TS
56430,1937275N25272,1937-10-02 18:00:00,GM,NOT_NAMED,40.0,1002.0,201,27.3,-91.0,4,TS
56593,1938235N14286,1938-08-26 12:00:00,GM,NOT_NAMED,75.0,979.0,22,21.4,-89.8,3,Cat1
56795,1938284N16273,1938-10-15 00:00:00,GM,NOT_NAMED,50.0,996.0,265,25.6,-84.6,4,TS
56815,1938284N16273,1938-10-17 12:00:00,GM,NOT_NAMED,40.0,1004.0,22,29.2,-94.7,4,TS
56816,1938284N16273,1938-10-17 13:00:00,GM,NOT_NAMED,40.0,1004.0,9,29.3,-94.8,4,TS
56984,1939220N19296,1939-08-13 06:00:00,GM,NOT_NAMED,65.0,985.0,11,30.4,-86.4,3,Cat1
57333,1940217N29277,1940-08-05 06:00:00,GM,NOT_NAMED,55.0,995.0,176,28.0,-87.7,3,TS
57353,1940217N29277,1940-08-07 18:00:00,GM,NOT_NAMED,85.0,972.0,11,29.6,-93.8,3,Cat2
57354,1940217N29277,1940-08-07 21:00:00,GM,NOT_NAMED,85.0,972.0,0,29.7,-94.1,3,Cat2
57738,1940294N12281,1940-10-21 18:00:00,CS,NOT_NAMED,55.0,993.0,315,12.4,-80.6,4,TS
57812,1941254N27273,1941-09-12 06:00:00,GM,NOT_NAMED,40.0,1001.0,83,28.3,-88.8,3,TS
57822,1941254N27273,1941-09-13 12:00:00,GM,NOT_NAMED,45.0,1001.0,111,28.1,-90.2,3,TS
57828,1941254N27273,1941-09-14 06:00:00,GM,NOT_NAMED,40.0,1002.0,91,28.7,-92.5,3,TS
57830,1941254N27273,1941-09-14 12:00:00,GM,NOT_NAMED,35.0,1004.0,72,29.1,-93.2,3,TS
57834,1941254N27273,1941-09-15 00:00:00,GM,NOT_NAMED,30.0,1006.0,11,29.6,-94.0,3,TS
58069,1941277N21298,1941-10-06 18:00:00,GM,NOT_NAMED,60.0,997.0,14,26.7,-82.4,4,TS
58073,1941277N21298,1941-10-07 06:00:00,GM,NOT_NAMED,80.0,982.0,62,29.2,-84.6,4,Cat1
58074,1941277N21298,1941-10-07 09:00:00,GM,NOT_NAMED,80.0,982.0,0,29.9,-84.6,4,Cat1
58168,1941288N21291,1941-10-20 12:00:00,GM,NOT_NAMED,40.0,1004.0,19,29.0,-83.0,4,TS
58169,1941288N21291,1941-10-20 14:00:00,GM,NOT_NAMED,40.0,1004.0,11,29.1,-83.0,4,TS
58311,1942236N15286,1942-08-30 06:00:00,GM,NOT_NAMED,100.0,950.0,63,27.9,-96.1,3,Cat3
58312,1942236N15286,1942-08-30 09:00:00,GM,NOT_NAMED,100.0,950.0,9,28.3,-96.6,3,Cat3
58728,1943207N28272,1943-07-27 18:00:00,GM,NOT_NAMED,90.0,967.0,0,29.5,-94.6,3,Cat2
59300,1944230N12301,1944-08-18 12:00:00,CS,NOT_NAMED,90.0,973.0,303,15.2,-66.6,3,Cat2
59463,1944253N25265,1944-09-10 18:00:00,GM,NOT_NAMED,55.0,992.0,19,29.1,-89.6,3,TS
59657,1944287N16280,1944-10-14 00:00:00,CS,NOT_NAMED,80.0,976.0,257,17.8,-80.8,4,Cat1
59693,1944287N16280,1944-10-18 12:00:00,GM,NOT_NAMED,115.0,937.0,22,23.1,-83.0,4,Cat4
59696,1944287N16280,1944-10-18 21:00:00,GM,NOT_NAMED,105.0,949.0,172,24.6,-82.9,4,Cat3
59699,1944287N16280,1944-10-19 06:00:00,GM,NOT_NAMED,90.0,962.0,29,26.9,-82.6,4,Cat2
59700,1944287N16280,1944-10-19 07:00:00,GM,NOT_NAMED,90.0,962.0,0,27.2,-82.5,4,Cat2
59986,1945236N21266,1945-08-27 12:00:00,GM,NOT_NAMED,100.0,963.0,9,28.2,-96.7,3,Cat3
59988,1945236N21266,1945-08-27 18:00:00,GM,NOT_NAMED,90.0,966.0,9,28.6,-96.3,3,Cat2
60025,1945241N14278,1945-08-31 18:00:00,CS,NOT_NAMED,60.0,990.0,10,17.4,-88.2,3,TS
60170,1945275N16279,1945-10-03 12:00:00,CS,NOT_NAMED,70.0,987.0,104,16.6,-83.8,4,Cat1
60172,1945275N16279,1945-10-03 18:00:00,CS,NOT_NAMED,75.0,982.0,100,16.8,-84.9,4,Cat1
60431,1946279N18273,1946-10-06 12:00:00,CS,NOT_NAMED,65.0,993.0,198,20.0,-85.2,4,Cat1
60437,1946279N18273,1946-10-07 04:00:00,CS,NOT_NAMED,80.0,977.0,0,22.2,-83.9,4,Cat1
60442,1946279N18273,1946-10-07 18:00:00,GM,NOT_NAMED,80.0,979.0,169,25.4,-83.3,4,Cat1
60444,1946279N18273,1946-10-08 00:00:00,GM,NOT_NAMED,75.0,980.0,44,27.0,-82.9,4,Cat1
60445,1946279N18273,1946-10-08 02:00:00,GM,NOT_NAMED,75.0,980.0,0,27.5,-82.6,4,Cat1
60586,1947221N13285,1947-08-14 18:00:00,GM,NOT_NAMED,90.0,977.0,158,21.9,-95.8,3,Cat2
60626,1947231N23278,1947-08-22 00:00:00,GM,NOT_NAMED,40.0,1004.0,78,28.3,-89.2,3,TS
60649,1947231N23278,1947-08-24 18:00:00,GM,NOT_NAMED,70.0,984.0,44,29.1,-94.5,3,Cat1
60651,1947231N23278,1947-08-24 22:00:00,GM,NOT_NAMED,70.0,984.0,11,29.2,-94.9,3,Cat1
60799,1947247N15340,1947-09-19 12:00:00,GM,NOT_NAMED,95.0,966.0,22,29.4,-89.0,3,Cat2
60800,1947247N15340,1947-09-19 14:00:00,GM,NOT_NAMED,95.0,966.0,9,29.6,-89.5,3,Cat2
60856,1947263N19282,1947-09-22 18:00:00,GM,NOT_NAMED,50.0,993.0,199,24.7,-83.4,3,TS
60858,1947263N19282,1947-09-23 00:00:00,GM,NOT_NAMED,50.0,994.0,164,25.7,-83.4,3,TS
60955,1947282N13278,1947-10-10 18:00:00,CS,NOT_NAMED,50.0,1000.0,193,20.1,-84.1,4,TS
60966,1947282N13278,1947-10-12 00:00:00,GM,NOT_NAMED,80.0,975.0,60,25.2,-81.8,4,Cat1
60967,1947282N13278,1947-10-12 02:00:00,GM,NOT_NAMED,80.0,975.0,10,25.4,-81.2,4,Cat1
61241,1948244N13305,1948-09-01 12:00:00,CS,NOT_NAMED,30.0,1007.0,391,14.2,-63.1,3,TS
61258,1948246N24265,1948-09-03 12:00:00,GM,NOT_NAMED,50.0,998.0,394,25.9,-92.6,3,TS
61260,1948246N24265,1948-09-03 18:00:00,GM,NOT_NAMED,60.0,990.0,264,26.9,-91.9,3,TS
61264,1948246N24265,1948-09-04 06:00:00,GM,NOT_NAMED,70.0,983.0,22,28.9,-90.6,3,Cat1
61265,1948246N24265,1948-09-04 07:00:00,GM,NOT_NAMED,70.0,983.0,9,29.1,-90.5,3,Cat1
61424,1948262N18281,1948-09-18 18:00:00,CS,NOT_NAMED,60.0,994.0,211,18.3,-80.4,3,TS
61432,1948262N18281,1948-09-19 18:00:00,CS,NOT_NAMED,105.0,951.0,222,19.6,-81.9,3,Cat3
61497,1948278N17277,1948-10-04 18:00:00,CS,NOT_NAMED,70.0,991.0,180,20.2,-85.0,4,Cat1
61726,1949235N18300,1949-08-27 18:00:00,GM,NOT_NAMED,65.0,980.0,0,29.1,-82.8,3,Cat1
62161,1949270N13270,1949-10-04 05:00:00,GM,NOT_NAMED,95.0,965.0,9,28.8,-95.6,4,Cat2
62369,1949307N18278,1949-11-03 18:00:00,CS,NOT_NAMED,55.0,993.0,204,17.5,-83.6,4,TS
62505,1950231N12306,1950-08-21 12:00:00,CS,BAKER,70.0,990.0,549,16.9,-60.6,3,Cat1
62507,1950231N12306,1950-08-21 18:00:00,CS,BAKER,75.0,987.0,505,17.0,-61.0,3,Cat1
62515,1950231N12306,1950-08-22 18:00:00,CS,BAKER,45.0,1003.0,326,16.8,-62.9,3,TS
62555,1950231N12306,1950-08-27 18:00:00,GM,BAKER,55.0,996.0,63,22.4,-85.3,3,TS
62561,1950231N12306,1950-08-28 12:00:00,GM,BAKER,55.0,998.0,168,23.0,-87.2,3,TS
62563,1950231N12306,1950-08-28 18:00:00,GM,BAKER,55.0,996.0,191,23.2,-87.5,3,TS
62581,1950231N12306,1950-08-31 00:00:00,GM,BAKER,75.0,979.0,84,29.4,-88.2,3,Cat1
62582,1950231N12306,1950-08-31 03:00:00,GM,BAKER,75.0,979.0,0,30.2,-88.0,3,Cat1
62875,1950244N20277,1950-09-02 12:00:00,CS,EASY,55.0,996.0,93,20.7,-83.3,3,TS
62877,1950244N20277,1950-09-02 18:00:00,CS,EASY,55.0,995.0,69,20.9,-83.2,3,TS
62887,1950244N20277,1950-09-03 18:00:00,GM,EASY,75.0,980.0,143,24.9,-82.6,3,Cat1
62893,1950244N20277,1950-09-04 12:00:00,GM,EASY,85.0,973.0,63,27.7,-83.5,3,Cat2
62895,1950244N20277,1950-09-04 18:00:00,GM,EASY,85.0,973.0,89,28.0,-83.8,3,Cat2
62903,1950244N20277,1950-09-05 17:00:00,GM,EASY,105.0,960.0,0,29.1,-82.8,3,Cat3
62904,1950244N20277,1950-09-05 18:00:00,GM,EASY,105.0,960.0,0,29.1,-82.8,3,Cat3
63131,1950281N23270,1950-10-09 00:00:00,GM,ITEM,45.0,1002.0,244,22.4,-92.2,4,TS
63139,1950281N23270,1950-10-10 00:00:00,GM,ITEM,75.0,990.0,222,20.5,-94.3,4,Cat1
63145,1950281N23270,1950-10-10 18:00:00,GM,ITEM,90.0,980.0,74,19.4,-95.4,4,Cat2
63228,1950286N16276,1950-10-15 18:00:00,CS,KING,55.0,992.0,178,17.7,-80.0,4,TS
63234,1950286N16276,1950-10-16 12:00:00,CS,KING,75.0,985.0,109,19.3,-78.7,4,Cat1
63340,1950291N26271,1950-10-19 12:00:00,GM,LOVE,60.0,990.0,352,26.0,-91.6,4,TS
63342,1950291N26271,1950-10-19 18:00:00,GM,LOVE,65.0,990.0,390,25.6,-91.0,4,Cat1
63344,1950291N26271,1950-10-20 00:00:00,GM,LOVE,70.0,987.0,405,25.4,-89.6,4,Cat1
63350,1950291N26271,1950-10-20 18:00:00,GM,LOVE,70.0,991.0,383,26.4,-86.5,4,Cat1
63650,1951224N12316,1951-08-16 12:00:00,CS,CHARLIE,65.0,992.0,224,15.9,-66.7,3,Cat1
63658,1951224N12316,1951-08-17 12:00:00,CS,CHARLIE,85.0,978.0,170,16.6,-73.1,3,Cat2
63660,1951224N12316,1951-08-17 18:00:00,CS,CHARLIE,95.0,971.0,125,17.1,-74.6,3,Cat2
63670,1951224N12316,1951-08-19 00:00:00,CS,CHARLIE,80.0,982.0,286,18.9,-82.2,3,Cat1
63674,1951224N12316,1951-08-19 12:00:00,CS,CHARLIE,85.0,976.0,268,19.4,-84.5,3,Cat2
63687,1951224N12316,1951-08-21 00:00:00,GM,CHARLIE,65.0,989.0,145,21.6,-91.6,3,Cat1
63693,1951224N12316,1951-08-21 18:00:00,GM,CHARLIE,65.0,988.0,289,21.6,-94.3,3,Cat1
63695,1951224N12316,1951-08-22 00:00:00,GM,CHARLIE,70.0,982.0,248,21.7,-94.9,3,Cat1
63699,1951224N12316,1951-08-22 12:00:00,GM,CHARLIE,85.0,972.0,91,22.1,-96.6,3,Cat2
63701,1951224N12316,1951-08-22 18:00:00,GM,CHARLIE,100.0,968.0,30,22.2,-97.5,3,Cat3
63702,1951224N12316,1951-08-22 19:00:00,GM,CHARLIE,100.0,968.0,0,22.3,-97.8,3,Cat3
63765,1951239N12334,1951-09-03 00:00:00,CS,DOG,70.0,992.0,414,14.3,-64.3,3,Cat1
63771,1951239N12334,1951-09-03 18:00:00,CS,DOG,70.0,993.0,307,14.8,-69.4,3,Cat1
63777,1951239N12334,1951-09-04 12:00:00,CS,DOG,45.0,1004.0,326,15.1,-74.2,3,TS
63972,1951263N19267,1951-09-20 18:00:00,GM,GEORGE,50.0,999.0,160,20.8,-95.2,3,TS
64004,1951272N20274,1951-10-01 12:00:00,GM,HOW,40.0,1003.0,395,26.1,-86.8,4,TS
64108,1951285N16280,1951-10-14 18:00:00,CS,ITEM,55.0,1000.0,142,20.5,-81.8,4,TS
64116,1951285N16280,1951-10-15 18:00:00,CS,ITEM,55.0,998.0,83,21.1,-81.9,4,TS
64122,1951285N16280,1951-10-16 12:00:00,CS,ITEM,25.0,1009.0,52,21.7,-82.0,4,TS
64738,1952295N11282,1952-10-21 18:00:00,CS,FOX,45.0,1003.0,224,16.6,-81.8,4,TS
64746,1952295N11282,1952-10-22 18:00:00,CS,FOX,60.0,993.0,269,17.3,-82.0,4,TS
64752,1952295N11282,1952-10-23 12:00:00,CS,FOX,110.0,942.0,356,18.3,-82.0,4,Cat3
64760,1952295N11282,1952-10-24 12:00:00,CS,FOX,120.0,940.0,112,21.0,-81.3,4,Cat4
64762,1952295N11282,1952-10-24 18:00:00,CS,FOX,125.0,934.0,11,22.0,-80.9,4,Cat4
64884,1953146N14278,1953-05-30 18:00:00,CS,ALICE,40.0,1000.0,152,20.5,-84.0,2,TS
64893,1953146N14278,1953-05-31 18:00:00,GM,ALICE,40.0,1003.0,10,22.2,-84.5,2,TS
64901,1953146N14278,1953-06-01 18:00:00,GM,ALICE,50.0,997.0,220,24.2,-85.4,2,TS
64903,1953146N14278,1953-06-02 00:00:00,GM,ALICE,50.0,996.0,190,24.0,-85.2,2,TS
64909,1953146N14278,1953-06-02 18:00:00,GM,ALICE,40.0,999.0,54,23.1,-84.3,2,TS
64935,1953146N14278,1953-06-06 00:00:00,GM,ALICE,55.0,994.0,118,28.7,-85.8,2,TS
65287,1953259N23270,1953-09-17 00:00:00,GM,NOT_NAMED,45.0,1004.0,258,26.4,-85.0,3,TS
65331,1953267N15282,1953-09-24 18:00:00,CS,FLORENCE,55.0,1001.0,78,21.3,-85.4,3,TS
65337,1953267N15282,1953-09-25 12:00:00,GM,FLORENCE,90.0,968.0,346,24.6,-87.6,3,Cat2
65486,1953280N21274,1953-10-08 18:00:00,GM,HAZEL,45.0,1002.0,162,23.2,-85.7,4,TS
65955,1954254N23266,1954-09-12 00:00:00,GM,FLORENCE,50.0,1001.0,114,20.9333,-95.9,3,TS
65971,1954259N26271,1954-09-16 12:00:00,GM,NOT_NAMED,40.0,1004.0,397,25.8,-92.4,3,TS
65973,1954259N26271,1954-09-16 18:00:00,GM,NOT_NAMED,40.0,1004.0,412,25.6,-93.0,3,TS
65975,1954259N26271,1954-09-17 00:00:00,GM,NOT_NAMED,40.0,1004.0,366,25.4,-93.5,3,TS
66002,1954268N14284,1954-09-27 00:00:00,CS,GILDA,55.0,998.0,90,16.6,-86.8,3,TS
66129,1954278N12302,1954-10-05 18:00:00,CS,HAZEL,55.0,1002.0,166,12.1,-60.5,4,TS
66135,1954278N12302,1954-10-06 12:00:00,CS,HAZEL,70.0,998.0,213,12.5,-64.3,4,Cat1
66137,1954278N12302,1954-10-06 18:00:00,CS,HAZEL,70.0,998.0,228,12.6,-65.6,4,Cat1
66143,1954278N12302,1954-10-07 12:00:00,CS,HAZEL,70.0,997.0,179,13.2,-68.7,4,Cat1
66145,1954278N12302,1954-10-07 18:00:00,CS,HAZEL,70.0,994.0,158,13.5,-69.7,4,Cat1
66151,1954278N12302,1954-10-08 12:00:00,CS,HAZEL,75.0,986.0,134,13.6,-71.8,4,Cat1
66301,1954364N22309,1955-01-02 18:00:00,CS,ALICE,65.0,991.0,296,18.1,-62.8,1,Cat1
66302,1954364N22309,1955-01-02 21:00:00,CS,ALICE,65.0,991.0,275,18.0,-63.0,1,Cat1
66307,1954364N22309,1955-01-03 12:00:00,CS,ALICE,55.0,999.0,223,16.8,-64.1,1,TS
66311,1954364N22309,1955-01-04 00:00:00,CS,ALICE,50.0,1000.0,249,15.9,-65.0,1,TS
66709,1955238N25275,1955-08-26 18:00:00,GM,NOT_NAMED,40.0,1004.0,157,28.9,-87.0,3,TS
66802,1955247N20267,1955-09-05 12:00:00,GM,GLADYS,65.0,997.0,81,23.0,-97.0,3,Cat1
66804,1955247N20267,1955-09-05 18:00:00,GM,GLADYS,65.0,996.0,30,23.3,-97.5,3,Cat1
66974,1955255N19294,1955-09-15 00:00:00,CS,HILDA,60.0,995.0,253,19.5,-80.6,3,TS
66975,1955255N19294,1955-09-15 03:00:00,CS,HILDA,65.0,995.0,288,19.3,-81.2,3,Cat1
66978,1955255N19294,1955-09-15 12:00:00,CS,HILDA,90.0,980.0,264,19.1,-83.4,3,Cat2
66982,1955255N19294,1955-09-16 00:00:00,CS,HILDA,105.0,963.0,212,19.2,-85.4,3,Cat3
66997,1955255N19294,1955-09-17 18:00:00,GM,HILDA,65.0,985.0,165,21.0,-92.0,3,Cat1
67003,1955255N19294,1955-09-18 12:00:00,GM,HILDA,85.0,970.0,290,21.5,-94.2,3,Cat2
67037,1955265N13307,1955-09-23 18:00:00,CS,JANET,60.0,996.0,276,12.9542,-64.8054,3,TS
67043,1955265N13307,1955-09-24 12:00:00,CS,JANET,55.0,996.0,272,13.8,-68.1333,3,TS
67045,1955265N13307,1955-09-24 18:00:00,CS,JANET,60.0,995.0,208,13.8535,-69.3739,3,TS
67051,1955265N13307,1955-09-25 12:00:00,CS,JANET,65.0,993.0,209,13.9333,-72.9667,3,Cat1
67053,1955265N13307,1955-09-25 18:00:00,CS,JANET,70.0,988.0,319,14.2476,-74.253,3,Cat1
67059,1955265N13307,1955-09-26 12:00:00,CS,JANET,90.0,970.0,302,15.0,-77.1667,3,Cat2
67068,1955265N13307,1955-09-27 15:00:00,CS,JANET,135.0,938.0,217,17.2771,-82.9847,3,Cat4
67074,1955265N13307,1955-09-28 05:00:00,CS,JANET,150.0,914.0,0,18.3919,-87.8265,3,Cat5
67075,1955265N13307,1955-09-28 06:00:00,CS,JANET,150.0,914.0,10,18.4909,-88.2103,3,Cat5
67188,1955288N13281,1955-10-16 18:00:00,CS,KATIE,75.0,984.0,212,16.2,-72.9,4,Cat1
67249,1956164N20269,1956-06-13 12:00:00,GM,NOT_NAMED,50.0,1004.0,178,27.5,-90.9,2,TS
67267,1956208N21268,1956-07-26 00:00:00,GM,ANNA,35.0,1006.0,275,21.0,-93.3,3,TS
67271,1956208N21268,1956-07-26 12:00:00,GM,ANNA,65.0,991.0,175,21.4,-95.6,3,Cat1
67300,1956222N13313,1956-08-11 18:00:00,CS,BETSY,90.0,979.0,473,16.0,-61.8,3,Cat2
67306,1956222N13313,1956-08-12 12:00:00,CS,BETSY,85.0,981.0,11,17.9,-65.9,3,Cat2
67458,1956254N20269,1956-09-10 18:00:00,GM,DORA,35.0,1010.0,268,21.1,-93.0,3,TS
67466,1956254N20269,1956-09-11 18:00:00,GM,DORA,45.0,1004.0,186,21.7,-95.5,3,TS
67472,1956254N20269,1956-09-12 12:00:00,GM,DORA,50.0,1004.0,56,21.1,-96.8,3,TS
67518,1956265N18274,1956-09-23 06:00:00,GM,FLOSSY,55.0,994.0,442,25.0,-91.1,3,TS
67524,1956265N18274,1956-09-24 00:00:00,GM,FLOSSY,75.0,984.0,122,28.0,-90.9,3,Cat1
67528,1956265N18274,1956-09-24 10:00:00,GM,FLOSSY,75.0,980.0,0,29.1,-89.4,3,Cat1
67529,1956265N18274,1956-09-24 12:00:00,GM,FLOSSY,75.0,980.0,29,29.4,-88.9,3,Cat1
67533,1956265N18274,1956-09-25 00:00:00,GM,FLOSSY,80.0,974.0,11,30.4,-86.4,3,Cat1
67742,1957159N25271,1957-06-08 12:00:00,GM,NOT_NAMED,40.0,1002.0,307,26.5,-87.8,2,TS
67746,1957159N25271,1957-06-09 00:00:00,GM,NOT_NAMED,45.0,1000.0,9,30.0,-84.3,2,TS
67747,1957159N25271,1957-06-09 00:30:00,GM,NOT_NAMED,45.0,1000.0,0,30.1,-84.2,2,TS
67812,1957176N21267,1957-06-25 18:00:00,GM,AUDREY,65.0,989.0,370,22.6,-93.5,2,Cat1
67814,1957176N21267,1957-06-26 00:00:00,GM,AUDREY,75.0,979.0,398,23.1,-93.5,2,Cat1
67820,1957176N21267,1957-06-26 18:00:00,GM,AUDREY,80.0,973.0,333,25.6,-93.8,2,Cat1
67826,1957176N21267,1957-06-27 12:00:00,GM,AUDREY,110.0,946.0,44,29.3,-93.8,2,Cat3
