,ID,Datetime,SubBasin,Name,Wind_Speed(knots),Air_Pressure(mb),Distance_to_Land(km),Latitude,Longitude,Season,Storm_Category,Rounded_Latitude,Rounded_Longitude,city,country
118632,2017228N14314,2017-08-21 00:00:00,CS,HARVEY,25.0,1007.0,327,15.1,-78.6,3,TS,15,-79,,
118634,2017228N14314,2017-08-21 06:00:00,CS,HARVEY,25.0,1008.0,289,15.7,-80.5,3,TS,16,-80,,
118636,2017228N14314,2017-08-21 12:00:00,CS,HARVEY,25.0,1008.0,156,16.4,-82.5,3,TS,16,-82,,
118638,2017228N14314,2017-08-21 18:00:00,CS,HARVEY,25.0,1008.0,157,17.3,-84.6,3,TS,17,-85,,
118640,2017228N14314,2017-08-22 00:00:00,CS,HARVEY,25.0,1008.0,149,18.0,-86.4,3,TS,18,-86,,
118648,2017228N14314,2017-08-23 00:00:00,GM,HARVEY,25.0,1009.0,20,20.5,-90.7,3,TS,20,-91,,
118650,2017228N14314,2017-08-23 06:00:00,GM,HARVEY,25.0,1008.0,122,20.9,-91.6,3,TS,21,-92,,
118652,2017228N14314,2017-08-23 12:00:00,GM,HARVEY,30.0,1006.0,208,21.4,-92.3,3,TS,21,-92,,
118654,2017228N14314,2017-08-23 18:00:00,GM,HARVEY,35.0,1005.0,224,21.6,-92.4,3,TS,22,-92,,
118656,2017228N14314,2017-08-24 00:00:00,GM,HARVEY,40.0,1003.0,248,22.0,-92.5,3,TS,22,-92,,
118658,2017228N14314,2017-08-24 06:00:00,GM,HARVEY,50.0,997.0,303,22.8,-92.6,3,TS,23,-93,,
118660,2017228N14314,2017-08-24 12:00:00,GM,HARVEY,60.0,986.0,408,23.7,-93.1,3,TS,24,-93,,
118662,2017228N14314,2017-08-24 18:00:00,GM,HARVEY,70.0,978.0,386,24.4,-93.6,3,Cat1,24,-94,,
118664,2017228N14314,2017-08-25 00:00:00,GM,HARVEY,80.0,973.0,289,25.0,-94.4,3,Cat1,25,-94,,
118666,2017228N14314,2017-08-25 06:00:00,GM,HARVEY,90.0,966.0,204,25.6,-95.1,3,Cat2,26,-95,,
118668,2017228N14314,2017-08-25 12:00:00,GM,HARVEY,95.0,949.0,133,26.3,-95.8,3,Cat2,26,-96,,
118670,2017228N14314,2017-08-25 18:00:00,GM,HARVEY,105.0,943.0,108,27.1,-96.3,3,Cat3,27,-96,,
118672,2017228N14314,2017-08-26 00:00:00,GM,HARVEY,115.0,941.0,34,27.8,-96.8,3,Cat4,28,-97,,United States
118673,2017228N14314,2017-08-26 03:00:00,GM,HARVEY,115.0,937.0,11,28.0,-96.9,3,Cat4,28,-97,,United States
118674,2017228N14314,2017-08-26 06:00:00,GM,HARVEY,105.0,948.0,0,28.2,-97.1,3,Cat3,28,-97,,United States
118690,2017228N14314,2017-08-28 06:00:00,GM,HARVEY,40.0,997.0,0,28.6,-96.5,3,TS,29,-96,,United States
118692,2017228N14314,2017-08-28 12:00:00,GM,HARVEY,40.0,997.0,0,28.5,-96.2,3,TS,28,-96,,
118694,2017228N14314,2017-08-28 18:00:00,GM,HARVEY,40.0,997.0,24,28.4,-95.9,3,TS,28,-96,,
118696,2017228N14314,2017-08-29 00:00:00,GM,HARVEY,40.0,996.0,73,28.2,-95.4,3,TS,28,-95,,
118698,2017228N14314,2017-08-29 06:00:00,GM,HARVEY,40.0,996.0,97,28.1,-95.0,3,TS,28,-95,,
118700,2017228N14314,2017-08-29 12:00:00,GM,HARVEY,40.0,995.0,106,28.2,-94.6,3,TS,28,-95,,
118702,2017228N14314,2017-08-29 18:00:00,GM,HARVEY,45.0,993.0,112,28.5,-94.2,3,TS,28,-94,,
118704,2017228N14314,2017-08-30 00:00:00,GM,HARVEY,45.0,994.0,89,28.9,-93.8,3,TS,29,-94,,
118706,2017228N14314,2017-08-30 06:00:00,GM,HARVEY,40.0,990.0,38,29.4,-93.6,3,TS,29,-94,,
118707,2017228N14314,2017-08-30 08:00:00,GM,HARVEY,40.0,991.0,0,29.8,-93.5,3,TS,30,-94,,United States
118809,2017242N16333,2017-09-06 05:45:00,CS,IRMA,155.0,914.0,405,17.7,-61.8,3,Cat5,18,-62,,
118810,2017242N16333,2017-09-06 06:00:00,CS,IRMA,155.0,914.0,395,17.7,-61.9,3,Cat5,18,-62,,
118812,2017242N16333,2017-09-06 11:15:00,CS,IRMA,155.0,914.0,264,18.1,-63.1,3,Cat5,18,-63,,Nederland
118813,2017242N16333,2017-09-06 12:00:00,CS,IRMA,155.0,915.0,243,18.1,-63.3,3,Cat5,18,-63,,Nederland
118815,2017242N16333,2017-09-06 16:30:00,CS,IRMA,155.0,915.0,127,18.5,-64.4,3,Cat5,18,-64,,
118816,2017242N16333,2017-09-06 18:00:00,CS,IRMA,150.0,916.0,97,18.6,-64.7,3,Cat5,19,-65,,
118850,2017242N16333,2017-09-10 18:00:00,GM,IRMA,100.0,936.0,33,25.6,-81.7,3,Cat3,26,-82,,United States
118851,2017242N16333,2017-09-10 19:30:00,GM,IRMA,100.0,936.0,0,25.9,-81.7,3,Cat3,26,-82,,United States
119043,2017249N22263,2017-09-05 12:00:00,GM,KATIA,25.0,1010.0,53,22.2,-97.2,3,TS,22,-97,,
119045,2017249N22263,2017-09-05 18:00:00,GM,KATIA,30.0,1008.0,82,22.4,-97.0,3,TS,22,-97,,
119047,2017249N22263,2017-09-06 00:00:00,GM,KATIA,30.0,1008.0,106,22.4,-96.7,3,TS,22,-97,,
119049,2017249N22263,2017-09-06 06:00:00,GM,KATIA,35.0,1006.0,114,22.2,-96.4,3,TS,22,-96,,
119051,2017249N22263,2017-09-06 12:00:00,GM,KATIA,45.0,1004.0,161,22.0,-95.8,3,TS,22,-96,,
119053,2017249N22263,2017-09-06 18:00:00,GM,KATIA,65.0,992.0,218,21.8,-95.2,3,Cat1,22,-95,,
119055,2017249N22263,2017-09-07 00:00:00,GM,KATIA,70.0,989.0,248,21.7,-94.9,3,Cat1,22,-95,,
119057,2017249N22263,2017-09-07 06:00:00,GM,KATIA,70.0,985.0,266,21.6,-94.6,3,Cat1,22,-95,,
119059,2017249N22263,2017-09-07 12:00:00,GM,KATIA,70.0,982.0,266,21.6,-94.6,3,Cat1,22,-95,,
119061,2017249N22263,2017-09-07 18:00:00,GM,KATIA,70.0,982.0,266,21.6,-94.6,3,Cat1,22,-95,,
119063,2017249N22263,2017-09-08 00:00:00,GM,KATIA,75.0,982.0,228,21.5,-95.0,3,Cat1,22,-95,,
119065,2017249N22263,2017-09-08 06:00:00,GM,KATIA,80.0,977.0,197,21.4,-95.3,3,Cat1,21,-95,,
119067,2017249N22263,2017-09-08 12:00:00,GM,KATIA,85.0,973.0,144,21.1,-95.7,3,Cat2,21,-96,,
119069,2017249N22263,2017-09-08 18:00:00,GM,KATIA,90.0,972.0,106,21.1,-96.2,3,Cat2,21,-96,,
119071,2017249N22263,2017-09-09 00:00:00,GM,KATIA,70.0,988.0,30,20.8,-96.9,3,Cat1,21,-97,,
119072,2017249N22263,2017-09-09 03:00:00,GM,KATIA,65.0,990.0,0,20.6,-97.1,3,Cat1,21,-97,,
119217,2017260N12310,2017-09-18 12:00:00,CS,MARIA,100.0,967.0,448,14.5,-59.7,3,Cat3,14,-60,,
119219,2017260N12310,2017-09-18 18:00:00,CS,MARIA,110.0,956.0,474,14.9,-60.4,3,Cat3,15,-60,,
119221,2017260N12310,2017-09-19 00:00:00,CS,MARIA,145.0,924.0,515,15.3,-61.1,3,Cat5,15,-61,,France
119222,2017260N12310,2017-09-19 01:15:00,CS,MARIA,145.0,922.0,526,15.4,-61.3,3,Cat5,15,-61,,France
119224,2017260N12310,2017-09-19 06:00:00,CS,MARIA,135.0,940.0,482,15.7,-61.9,3,Cat4,16,-62,,
119226,2017260N12310,2017-09-19 12:00:00,CS,MARIA,140.0,931.0,387,16.1,-62.7,3,Cat5,16,-63,,
119228,2017260N12310,2017-09-19 18:00:00,CS,MARIA,145.0,920.0,285,16.6,-63.5,3,Cat5,17,-64,,
119230,2017260N12310,2017-09-20 00:00:00,CS,MARIA,150.0,909.0,192,17.0,-64.3,3,Cat5,17,-64,,
119231,2017260N12310,2017-09-20 03:00:00,CS,MARIA,150.0,908.0,138,17.3,-64.7,3,Cat5,17,-65,,
119232,2017260N12310,2017-09-20 06:00:00,CS,MARIA,140.0,913.0,85,17.6,-65.1,3,Cat5,18,-65,,
119234,2017260N12310,2017-09-20 10:15:00,CS,MARIA,135.0,920.0,0,18.0,-65.9,3,Cat4,18,-66,,United States
119332,2017277N11279,2017-10-03 12:00:00,CS,NATE,20.0,1008.0,179,10.7,-80.8,4,TS,11,-81,,
119334,2017277N11279,2017-10-03 18:00:00,CS,NATE,25.0,1007.0,233,11.1,-81.1,4,TS,11,-81,,
119336,2017277N11279,2017-10-04 00:00:00,CS,NATE,25.0,1007.0,251,11.4,-81.2,4,TS,11,-81,,
119338,2017277N11279,2017-10-04 06:00:00,CS,NATE,25.0,1006.0,240,11.7,-81.4,4,TS,12,-81,,
119340,2017277N11279,2017-10-04 12:00:00,CS,NATE,25.0,1005.0,190,12.0,-81.8,4,TS,12,-82,,
119342,2017277N11279,2017-10-04 18:00:00,CS,NATE,30.0,1005.0,130,12.3,-82.3,4,TS,12,-82,,
119344,2017277N11279,2017-10-05 00:00:00,CS,NATE,30.0,1004.0,86,12.6,-82.7,4,TS,13,-83,,
119346,2017277N11279,2017-10-05 06:00:00,CS,NATE,35.0,1001.0,43,13.1,-83.1,4,TS,13,-83,,
119348,2017277N11279,2017-10-05 12:00:00,CS,NATE,35.0,999.0,0,13.9,-83.5,4,TS,14,-84,,Nicaragua
119354,2017277N11279,2017-10-06 06:00:00,CS,NATE,40.0,999.0,44,16.3,-84.7,4,TS,16,-85,,Honduras
119356,2017277N11279,2017-10-06 12:00:00,CS,NATE,40.0,996.0,223,17.9,-84.7,4,TS,18,-85,,
119358,2017277N11279,2017-10-06 18:00:00,CS,NATE,45.0,995.0,229,19.5,-85.2,4,TS,20,-85,,
119360,2017277N11279,2017-10-07 00:00:00,CS,NATE,55.0,990.0,85,21.3,-85.9,4,TS,21,-86,,
119362,2017277N11279,2017-10-07 06:00:00,GM,NATE,70.0,987.0,229,23.5,-86.5,4,Cat1,24,-86,,
119364,2017277N11279,2017-10-07 12:00:00,GM,NATE,80.0,986.0,387,25.7,-87.9,4,Cat1,26,-88,,
119366,2017277N11279,2017-10-07 18:00:00,GM,NATE,80.0,981.0,157,27.6,-88.9,4,Cat1,28,-89,,
119368,2017277N11279,2017-10-08 00:00:00,GM,NATE,75.0,983.0,0,29.1,-89.2,4,Cat1,29,-89,,United States
119370,2017277N11279,2017-10-08 05:20:00,GM,NATE,65.0,984.0,0,30.4,-89.0,4,Cat1,30,-89,,United States
119486,2017301N18276,2017-10-27 18:00:00,CS,PHILIPPE,30.0,1006.0,186,17.5,-84.2,4,TS,18,-84,,
119488,2017301N18276,2017-10-28 00:00:00,CS,PHILIPPE,30.0,1006.0,258,18.2,-84.5,4,TS,18,-84,,
119490,2017301N18276,2017-10-28 06:00:00,CS,PHILIPPE,30.0,1004.0,300,19.1,-84.3,4,TS,19,-84,,
119492,2017301N18276,2017-10-28 12:00:00,CS,PHILIPPE,30.0,1003.0,162,20.1,-83.5,4,TS,20,-84,,
119494,2017301N18276,2017-10-28 18:00:00,CS,PHILIPPE,35.0,1000.0,35,21.3,-82.4,4,TS,21,-82,,
119496,2017301N18276,2017-10-28 22:00:00,CS,PHILIPPE,35.0,1000.0,0,22.2,-81.6,4,TS,22,-82,,Cuba
119539,2018146N19273,2018-05-25 12:00:00,CS,ALBERTO,30.0,1006.0,53,18.8,-87.1,2,TS,19,-87,,
119541,2018146N19273,2018-05-25 18:00:00,CS,ALBERTO,30.0,1006.0,117,18.7,-86.5,2,TS,19,-86,,
119543,2018146N19273,2018-05-26 00:00:00,CS,ALBERTO,30.0,1006.0,171,18.9,-85.9,2,TS,19,-86,,
119545,2018146N19273,2018-05-26 06:00:00,CS,ALBERTO,30.0,1005.0,178,19.6,-85.7,2,TS,20,-86,,
119547,2018146N19273,2018-05-26 12:00:00,CS,ALBERTO,30.0,1004.0,91,21.3,-85.6,2,TS,21,-86,,
119549,2018146N19273,2018-05-26 18:00:00,GM,ALBERTO,35.0,1002.0,84,22.6,-85.3,2,TS,23,-85,,
119551,2018146N19273,2018-05-27 00:00:00,GM,ALBERTO,35.0,1000.0,129,23.6,-84.8,2,TS,24,-85,,
119553,2018146N19273,2018-05-27 06:00:00,GM,ALBERTO,35.0,998.0,241,24.9,-84.3,2,TS,25,-84,,
119555,2018146N19273,2018-05-27 12:00:00,GM,ALBERTO,40.0,995.0,194,26.6,-84.4,2,TS,27,-84,,
119557,2018146N19273,2018-05-27 18:00:00,GM,ALBERTO,45.0,992.0,209,27.6,-85.0,2,TS,28,-85,,
119559,2018146N19273,2018-05-28 00:00:00,GM,ALBERTO,55.0,991.0,171,28.2,-85.8,2,TS,28,-86,,
119561,2018146N19273,2018-05-28 06:00:00,GM,ALBERTO,55.0,990.0,135,28.6,-86.0,2,TS,29,-86,,
119563,2018146N19273,2018-05-28 12:00:00,GM,ALBERTO,50.0,991.0,82,29.1,-85.9,2,TS,29,-86,,
119565,2018146N19273,2018-05-28 18:00:00,GM,ALBERTO,45.0,991.0,38,29.8,-85.9,2,TS,30,-86,,
119566,2018146N19273,2018-05-28 21:00:00,GM,ALBERTO,40.0,992.0,0,30.3,-86.0,2,TS,30,-86,,
119624,2018186N10325,2018-07-09 00:00:00,CS,BERYL,35.0,1010.0,537,15.5,-61.3,3,TS,16,-61,,France
119626,2018186N10325,2018-07-09 06:00:00,CS,BERYL,35.0,1011.0,339,16.2,-63.2,3,TS,16,-63,,
119628,2018186N10325,2018-07-09 12:00:00,CS,BERYL,35.0,1013.0,165,16.6,-65.3,3,TS,17,-65,,
119630,2018186N10325,2018-07-09 18:00:00,CS,BERYL,35.0,1013.0,90,17.1,-67.1,3,TS,17,-67,,
119632,2018186N10325,2018-07-10 00:00:00,CS,BERYL,35.0,1013.0,67,17.6,-68.9,3,TS,18,-69,,República Dominicana
119634,2018186N10325,2018-07-10 06:00:00,CS,BERYL,30.0,1013.0,11,18.1,-70.5,3,TS,18,-70,,
120051,2018246N22283,2018-09-03 12:00:00,GM,GORDON,45.0,1006.0,0,25.1,-80.7,3,TS,25,-81,,United States
120054,2018246N22283,2018-09-03 18:00:00,GM,GORDON,50.0,1004.0,22,25.8,-81.9,3,TS,26,-82,,United States
120056,2018246N22283,2018-09-04 00:00:00,GM,GORDON,55.0,1003.0,101,26.6,-83.3,3,TS,27,-83,,
120058,2018246N22283,2018-09-04 06:00:00,GM,GORDON,55.0,1002.0,211,27.2,-84.9,3,TS,27,-85,,
120060,2018246N22283,2018-09-04 12:00:00,GM,GORDON,55.0,1001.0,194,28.1,-86.2,3,TS,28,-86,,
120062,2018246N22283,2018-09-04 18:00:00,GM,GORDON,60.0,1000.0,156,28.9,-87.2,3,TS,29,-87,,
120064,2018246N22283,2018-09-05 00:00:00,GM,GORDON,60.0,999.0,44,29.8,-88.0,3,TS,30,-88,,
120136,2018251N13325,2018-09-13 12:00:00,CS,ISAAC,40.0,1004.0,471,14.9,-60.7,3,TS,15,-61,,France
120138,2018251N13325,2018-09-13 18:00:00,CS,ISAAC,35.0,1004.0,470,14.9,-62.3,3,TS,15,-62,,
120140,2018251N13325,2018-09-14 00:00:00,CS,ISAAC,35.0,1004.0,418,14.9,-63.6,3,TS,15,-64,,
120142,2018251N13325,2018-09-14 06:00:00,CS,ISAAC,35.0,1004.0,352,15.0,-64.8,3,TS,15,-65,,
120144,2018251N13325,2018-09-14 12:00:00,CS,ISAAC,35.0,1004.0,302,15.2,-66.2,3,TS,15,-66,,
120146,2018251N13325,2018-09-14 18:00:00,CS,ISAAC,35.0,1004.0,294,15.3,-67.6,3,TS,15,-68,,
120148,2018251N13325,2018-09-15 00:00:00,CS,ISAAC,30.0,1006.0,314,15.4,-69.0,3,TS,15,-69,,
120353,2018265N08338,2018-09-27 18:00:00,CS,KIRK,50.0,1000.0,391,14.0,-59.8,3,TS,14,-60,,
120355,2018265N08338,2018-09-28 00:00:00,CS,KIRK,45.0,1002.0,347,13.8,-60.8,3,TS,14,-61,,Saint Lucia
120356,2018265N08338,2018-09-28 00:30:00,CS,KIRK,45.0,1002.0,347,13.8,-60.9,3,TS,14,-61,,Saint Lucia
120358,2018265N08338,2018-09-28 06:00:00,CS,KIRK,45.0,1005.0,291,13.3,-61.9,3,TS,13,-62,,
120360,2018265N08338,2018-09-28 12:00:00,CS,KIRK,40.0,1007.0,324,13.6,-63.1,3,TS,14,-63,,
120362,2018265N08338,2018-09-28 18:00:00,CS,KIRK,35.0,1007.0,425,14.4,-64.2,3,TS,14,-64,,
120549,2018280N18273,2018-10-06 18:00:00,CS,MICHAEL,25.0,1006.0,134,17.8,-86.6,4,TS,18,-87,,
120551,2018280N18273,2018-10-07 00:00:00,CS,MICHAEL,25.0,1004.0,95,18.1,-86.9,4,TS,18,-87,,
120553,2018280N18273,2018-10-07 06:00:00,CS,MICHAEL,30.0,1004.0,97,18.4,-86.8,4,TS,18,-87,,
120555,2018280N18273,2018-10-07 12:00:00,CS,MICHAEL,35.0,1003.0,124,18.8,-86.4,4,TS,19,-86,,
120557,2018280N18273,2018-10-07 18:00:00,CS,MICHAEL,45.0,999.0,183,19.1,-85.7,4,TS,19,-86,,
120559,2018280N18273,2018-10-08 00:00:00,CS,MICHAEL,50.0,996.0,190,19.7,-85.5,4,TS,20,-86,,
120561,2018280N18273,2018-10-08 06:00:00,CS,MICHAEL,60.0,984.0,168,20.2,-85.4,4,TS,20,-85,,
120563,2018280N18273,2018-10-08 12:00:00,CS,MICHAEL,65.0,982.0,105,20.9,-85.1,4,Cat1,21,-85,,
120565,2018280N18273,2018-10-08 18:00:00,CS,MICHAEL,75.0,977.0,24,21.7,-85.1,4,Cat1,22,-85,,Cuba
120567,2018280N18273,2018-10-09 00:00:00,GM,MICHAEL,85.0,971.0,91,22.7,-85.2,4,Cat2,23,-85,,
120569,2018280N18273,2018-10-09 06:00:00,GM,MICHAEL,85.0,973.0,211,23.7,-85.8,4,Cat2,24,-86,,
120571,2018280N18273,2018-10-09 12:00:00,GM,MICHAEL,90.0,968.0,308,24.6,-86.2,4,Cat2,25,-86,,
120573,2018280N18273,2018-10-09 18:00:00,GM,MICHAEL,100.0,961.0,405,25.6,-86.4,4,Cat3,26,-86,,
120575,2018280N18273,2018-10-10 00:00:00,GM,MICHAEL,110.0,952.0,362,26.6,-86.5,4,Cat3,27,-86,,
120577,2018280N18273,2018-10-10 06:00:00,GM,MICHAEL,120.0,945.0,252,27.7,-86.6,4,Cat4,28,-87,,
120579,2018280N18273,2018-10-10 12:00:00,GM,MICHAEL,125.0,934.0,117,29.0,-86.3,4,Cat4,29,-86,,
120581,2018280N18273,2018-10-10 17:30:00,GM,MICHAEL,140.0,919.0,0,30.0,-85.5,4,Cat5,30,-86,,
120742,2019192N29274,2019-07-10 12:00:00,GM,BARRY,25.0,1009.0,171,28.5,-86.5,3,TS,28,-86,,
120744,2019192N29274,2019-07-10 18:00:00,GM,BARRY,30.0,1009.0,216,28.1,-87.1,3,TS,28,-87,,
120746,2019192N29274,2019-07-11 00:00:00,GM,BARRY,30.0,1008.0,198,27.8,-87.6,3,TS,28,-88,,
120748,2019192N29274,2019-07-11 06:00:00,GM,BARRY,35.0,1007.0,180,27.7,-88.0,3,TS,28,-88,,
120750,2019192N29274,2019-07-11 12:00:00,GM,BARRY,35.0,1005.0,160,27.7,-88.4,3,TS,28,-88,,
120752,2019192N29274,2019-07-11 18:00:00,GM,BARRY,40.0,1005.0,148,27.7,-88.8,3,TS,28,-89,,
120754,2019192N29274,2019-07-12 00:00:00,GM,BARRY,45.0,1001.0,134,27.8,-89.2,3,TS,28,-89,,
120756,2019192N29274,2019-07-12 06:00:00,GM,BARRY,45.0,1001.0,136,27.9,-89.7,3,TS,28,-90,,
120758,2019192N29274,2019-07-12 12:00:00,GM,BARRY,50.0,998.0,111,28.1,-90.2,3,TS,28,-90,,
120760,2019192N29274,2019-07-12 18:00:00,GM,BARRY,55.0,993.0,78,28.4,-90.7,3,TS,28,-91,,
120762,2019192N29274,2019-07-13 00:00:00,GM,BARRY,60.0,993.0,59,28.6,-91.1,3,TS,29,-91,,United States
120764,2019192N29274,2019-07-13 06:00:00,GM,BARRY,60.0,993.0,51,28.9,-91.5,3,TS,29,-92,,
120766,2019192N29274,2019-07-13 12:00:00,GM,BARRY,65.0,993.0,36,29.3,-91.9,3,Cat1,29,-92,,
120767,2019192N29274,2019-07-13 15:00:00,GM,BARRY,65.0,993.0,0,29.6,-92.2,3,Cat1,30,-92,,United States
120870,2019236N10314,2019-08-27 01:30:00,CS,DORIAN,45.0,1005.0,320,13.1,-59.4,3,TS,13,-59,,
120872,2019236N10314,2019-08-27 06:00:00,CS,DORIAN,45.0,1005.0,325,13.5,-60.2,3,TS,14,-60,,
120874,2019236N10314,2019-08-27 11:00:00,CS,DORIAN,45.0,1005.0,369,14.0,-60.9,3,TS,14,-61,,Saint Lucia
120875,2019236N10314,2019-08-27 12:00:00,CS,DORIAN,45.0,1005.0,391,14.2,-61.2,3,TS,14,-61,,Saint Lucia
120877,2019236N10314,2019-08-27 18:00:00,CS,DORIAN,45.0,1004.0,481,15.0,-62.0,3,TS,15,-62,,
120879,2019236N10314,2019-08-28 00:00:00,CS,DORIAN,50.0,1003.0,408,15.7,-62.8,3,TS,16,-63,,
120881,2019236N10314,2019-08-28 06:00:00,CS,DORIAN,55.0,1001.0,300,16.4,-63.5,3,TS,16,-64,,
120883,2019236N10314,2019-08-28 12:00:00,CS,DORIAN,60.0,999.0,179,17.3,-64.2,3,TS,17,-64,,
120885,2019236N10314,2019-08-28 15:30:00,CS,DORIAN,65.0,995.0,114,17.8,-64.6,3,Cat1,18,-65,,
120886,2019236N10314,2019-08-28 18:00:00,CS,DORIAN,70.0,993.0,52,18.4,-65.1,3,Cat1,18,-65,,
121076,2019246N24266,2019-09-03 06:00:00,GM,FERNAND,30.0,1006.0,386,23.6,-94.0,3,TS,24,-94,,
121078,2019246N24266,2019-09-03 12:00:00,GM,FERNAND,35.0,1004.0,316,23.4,-94.7,3,TS,23,-95,,
121080,2019246N24266,2019-09-03 18:00:00,GM,FERNAND,40.0,1002.0,245,23.2,-95.4,3,TS,23,-95,,
121082,2019246N24266,2019-09-04 00:00:00,GM,FERNAND,45.0,1000.0,173,23.1,-96.1,3,TS,23,-96,,
121084,2019246N24266,2019-09-04 06:00:00,GM,FERNAND,45.0,1000.0,102,23.4,-96.8,3,TS,23,-97,,
121086,2019246N24266,2019-09-04 12:00:00,GM,FERNAND,40.0,1003.0,60,24.0,-97.2,3,TS,24,-97,,
121088,2019246N24266,2019-09-04 15:30:00,GM,FERNAND,40.0,1003.0,10,24.2,-97.7,3,TS,24,-98,,México
121246,2019261N28264,2019-09-17 12:00:00,GM,IMELDA,30.0,1008.0,44,28.3,-95.7,3,TS,28,-96,,
121247,2019261N28264,2019-09-17 15:00:00,GM,IMELDA,35.0,1006.0,29,28.6,-95.5,3,TS,29,-96,,United States
121248,2019261N28264,2019-09-17 17:45:00,GM,IMELDA,40.0,1003.0,0,28.9,-95.4,3,TS,29,-95,,United States
121262,2019265N12301,2019-09-22 06:00:00,CS,KAREN,35.0,1007.0,172,11.8,-59.9,3,TS,12,-60,,
121264,2019265N12301,2019-09-22 12:00:00,CS,KAREN,35.0,1007.0,156,12.1,-61.1,3,TS,12,-61,,
121266,2019265N12301,2019-09-22 18:00:00,CS,KAREN,35.0,1007.0,201,12.5,-62.2,3,TS,12,-62,,Grenada
121268,2019265N12301,2019-09-23 00:00:00,CS,KAREN,35.0,1007.0,257,13.0,-63.2,3,TS,13,-63,,
121270,2019265N12301,2019-09-23 06:00:00,CS,KAREN,30.0,1007.0,347,13.7,-64.1,3,TS,14,-64,,
121272,2019265N12301,2019-09-23 12:00:00,CS,KAREN,30.0,1007.0,416,14.4,-64.8,3,TS,14,-65,,
121274,2019265N12301,2019-09-23 18:00:00,CS,KAREN,30.0,1007.0,324,15.1,-65.4,3,TS,15,-65,,
121276,2019265N12301,2019-09-24 00:00:00,CS,KAREN,30.0,1007.0,251,15.7,-65.7,3,TS,16,-66,,
121278,2019265N12301,2019-09-24 06:00:00,CS,KAREN,35.0,1006.0,173,16.4,-65.8,3,TS,16,-66,,
121280,2019265N12301,2019-09-24 12:00:00,CS,KAREN,35.0,1006.0,109,17.0,-65.8,3,TS,17,-66,,
121282,2019265N12301,2019-09-24 18:00:00,CS,KAREN,40.0,1004.0,39,17.7,-65.6,3,TS,18,-66,,United States
121284,2019265N12301,2019-09-24 22:00:00,CS,KAREN,40.0,1004.0,23,18.1,-65.4,3,TS,18,-65,,
121285,2019265N12301,2019-09-24 23:00:00,CS,KAREN,40.0,1004.0,31,18.3,-65.3,3,TS,18,-65,,
121286,2019265N12301,2019-09-25 00:00:00,CS,KAREN,40.0,1003.0,43,18.5,-65.2,3,TS,18,-65,,
121474,2019291N22264,2019-10-17 12:00:00,GM,NESTOR,35.0,1007.0,178,22.2,-95.7,4,TS,22,-96,,
121476,2019291N22264,2019-10-17 18:00:00,GM,NESTOR,35.0,1005.0,243,22.6,-95.2,4,TS,23,-95,,
121478,2019291N22264,2019-10-18 00:00:00,GM,NESTOR,40.0,1003.0,337,23.2,-94.5,4,TS,23,-94,,
121480,2019291N22264,2019-10-18 06:00:00,GM,NESTOR,45.0,1002.0,434,24.1,-93.0,4,TS,24,-93,,
121482,2019291N22264,2019-10-18 12:00:00,GM,NESTOR,50.0,1001.0,436,25.2,-91.2,4,TS,25,-91,,
121484,2019291N22264,2019-10-18 18:00:00,GM,NESTOR,50.0,1000.0,291,26.4,-89.4,4,TS,26,-89,,
121486,2019291N22264,2019-10-19 00:00:00,GM,NESTOR,50.0,996.0,184,27.8,-87.8,4,TS,28,-88,,
121488,2019291N22264,2019-10-19 06:00:00,GM,NESTOR,50.0,996.0,189,28.6,-87.1,4,TS,29,-87,,
121490,2019291N22264,2019-10-19 12:00:00,GM,NESTOR,40.0,996.0,106,29.3,-86.4,4,TS,29,-86,,
121546,2019299N25265,2019-10-25 12:00:00,GM,OLGA,35.0,1004.0,261,24.7,-94.8,4,TS,25,-95,,
121548,2019299N25265,2019-10-25 18:00:00,GM,OLGA,40.0,998.0,349,25.9,-93.6,4,TS,26,-94,,
121550,2019299N25265,2019-10-26 00:00:00,GM,OLGA,45.0,996.0,279,27.0,-92.5,4,TS,27,-92,,
121552,2019299N25265,2019-10-26 06:00:00,GM,OLGA,45.0,994.0,44,28.8,-91.2,4,TS,29,-91,,United States
121724,2020154N19269,2020-06-01 18:00:00,GM,CRISTOBAL,25.0,1006.0,15,19.4,-90.9,2,TS,19,-91,,México
121726,2020154N19269,2020-06-02 00:00:00,GM,CRISTOBAL,25.0,1005.0,74,19.6,-91.6,2,TS,20,-92,,
121728,2020154N19269,2020-06-02 06:00:00,GM,CRISTOBAL,30.0,1005.0,100,19.6,-92.1,2,TS,20,-92,,
121730,2020154N19269,2020-06-02 12:00:00,GM,CRISTOBAL,35.0,1004.0,100,19.5,-92.5,2,TS,20,-92,,
121732,2020154N19269,2020-06-02 18:00:00,GM,CRISTOBAL,40.0,1001.0,67,19.2,-92.6,2,TS,19,-93,,
121734,2020154N19269,2020-06-03 00:00:00,GM,CRISTOBAL,45.0,996.0,44,19.0,-92.5,2,TS,19,-92,,
121736,2020154N19269,2020-06-03 06:00:00,GM,CRISTOBAL,50.0,994.0,33,18.9,-92.3,2,TS,19,-92,,
121738,2020154N19269,2020-06-03 12:00:00,GM,CRISTOBAL,50.0,993.0,22,18.8,-92.2,2,TS,19,-92,,
